P_NAME,P_STATUS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
,3.0,-476.742,476.742,4.191425871296591,-0.48398988083735917,0.6218674074074073,2007,,326.03,-0.32,0.32,1.29,-0.05,0.05,0.231,-0.005,0.005,86.22892654028435,-1.0746391625615763,1.018,94.8,-1.5,1.5,2452899.6,-1.6,1.6,13.8,0.40319538679914824,-0.1866326936744847,0.18404434968017058,0.0,,0.0,0.0,,,,,,,185.17928,17.792868,4.74,93.37,-1.92,1.92,-0.35,-0.09,0.09,2.7,-0.3,0.3,19.0,-2.0,2.0,,-2114701.503671098,-1.9271664016799153,2.96431584527292,4742.0,-100.0,100.0,,,2.31,0.0,5.357039901373938,59.30833232746458,14.440209304735127,6.449324611881728,0.13067063,1.3244178,0.99201,1.58799,1.2987592,101.01141,64.855456,166.19194,799.44963,722.98875,914.73942,,19.0,,12.345286,,,163.5468,10.132812,24.763411,12.834754,23.477907,13.586847,23.477907,12.390643,23.477907,34.529063,0.47646024,0.64240028,0,0,,0,0.083813263,,,,12.082709,6165.8633,1.29
,3.0,-794.57001,794.57001,4.191425871296591,-0.48398988083735917,0.6218674074074073,2009,,516.21997,-3.2,3.2,1.53,-0.07,0.07,0.08,-0.03,0.03,86.22892654028435,-1.0746391625615763,1.018,135.40529410455764,-37.77747677056277,41.39958138528139,2429249.4893970895,-143.80417540254237,170.48328451271186,12.2,0.40319538679914824,-0.1866326936744847,0.18404434968017058,0.0,,0.0,0.0,,,,,,,229.27454,71.823898,5.016,125.72,-1.97,1.97,-0.02,-0.11816107931152901,0.10933033524284545,2.78,-0.69,0.69,29.79,-2.84,2.84,,-2114701.503671098,-1.9271664016799153,2.96431584527292,4213.0,-46.0,46.0,,,1.93,0.0,5.357039901373938,59.30833232746458,14.440209304735127,6.449324611881728,0.16755064,1.534896,1.4076,1.6524,1.5312267,107.35118,91.741348,126.42617,819.07569,788.47184,854.2877,,29.79,,15.28497,,,250.49294,12.770059,31.984271,16.17528,30.323783,17.134143,30.323783,15.615215,30.323783,42.732816,0.19389083,0.64868332,0,0,,0,0.082414476,,,,12.229641,4684.7848,1.53
,3.0,-152.29223171666254,190.28969208662917,4.191425871296591,-0.48398988083735917,0.6218674074074073,2008,,185.84,-0.23,0.23,0.83,-0.42278956557901476,0.4178062250639386,0.0,-0.05414682904129763,0.06474579507003089,86.22892654028435,-1.0746391625615763,1.018,0.0,-37.77747677056277,41.39958138528139,2452861.4,-1.5,1.5,11.0,0.40319538679914824,-0.1866326936744847,0.18404434968017058,0.0,,0.0,0.0,,,,,,,352.82257,39.236198,5.227,75.59,-0.71,0.71,-0.24,-0.03,0.03,2.2,-0.2,0.1,11.0,-1.0,1.0,,-2114701.503671098,-1.9271664016799153,2.96431584527292,4813.0,-20.0,20.0,,,2.63,0.0,5.357039901373938,59.30833232746458,14.440209304735127,6.449324611881728,0.073485255,0.83,0.83,0.83,0.83000002,84.446427,84.446427,84.446427,772.30746,772.30746,772.30746,,11.0,,23.521506,,,58.175144,6.0252302,14.680087,7.6318669,13.918028,8.078404,13.918028,7.3677796,13.918028,20.593611,0.50275224,0.60001028,0,0,,0,0.081917127,,,,12.848516,1525.5744,0.83
,3.0,-47.6742,47.6742,4.191425871296591,-0.48398988083735917,0.6218674074074073,2002,,1773.4,-2.5,2.5,2.93,-0.08,0.08,0.37,0.0,0.0,86.22892654028435,-1.0746391625615763,1.018,135.40529410455764,-37.77747677056277,41.39958138528139,2429249.4893970895,-143.80417540254237,170.48328451271186,163.0,0.40319538679914824,-0.1866326936744847,0.18404434968017058,0.0,,0.0,0.0,,,,,,,242.6013,43.817646,6.61,17.94,-0.01,0.01,0.41,-0.11816107931152901,0.10933033524284545,0.9,-0.04,0.04,0.93,-0.01,0.01,,-2114701.503671098,-1.9271664016799153,2.96431584527292,5338.0,-25.0,25.0,,,4.45,0.0,5.357039901373938,59.30833232746458,14.440209304735127,6.449324611881728,0.217991,3.1305585,1.8459,4.0141,2.9825498,0.078886561,0.039047429,0.18465135,131.38424,113.25125,167.00637,,0.93,,16.173421,,,0.62917118,0.61059549,1.4579131,0.77340372,1.3822336,0.81817864,1.3822336,0.74661526,1.3822336,2.1416484,0.91975583,0.44541547,0,0,,0,0.14524062,,,,12.865261,1481.0785,2.93
,3.0,-25.42624,25.42624,4.191425871296591,-0.48398988083735917,0.6218674074074073,1996,,798.5,-1.0,1.0,1.66,-0.03,0.03,0.68,-0.02,0.02,86.22892654028435,-1.0746391625615763,1.018,135.40529410455764,-37.77747677056277,41.39958138528139,2429249.4893970895,-143.80417540254237,170.48328451271186,78.5,0.40319538679914824,-0.1866326936744847,0.18404434968017058,0.0,,0.0,0.0,,,,,,,295.46655,50.517525,6.25,21.15,-0.01,0.01,0.06,-0.11816107931152901,0.10933033524284545,1.08,-0.04,0.04,1.13,-0.01,0.01,,-2114701.503671098,-1.9271664016799153,2.96431584527292,5750.0,-8.0,8.0,,,4.36,0.0,5.357039901373938,59.30833232746458,14.440209304735127,6.449324611881728,0.042832433,2.043792,0.5312,2.7888,1.7748696,0.61897215,0.16079857,4.4320105,202.22783,161.33012,369.65374,,1.13,,19.697771,,,1.2505956,0.8406574,1.9820503,1.0647976,1.8791638,1.1259913,1.8791638,1.0278615,1.8791638,3.019411,1.9836585,0.47332457,1,1,,0,0.36862709,,,,13.421749,565.73385,1.66
,3.0,-152.29223171666254,190.28969208662917,4.191425871296591,-0.48398988083735917,0.6218674074074073,2008,,993.3,-3.2,3.2,2.6,-0.42278956557901476,0.4178062250639386,0.08,-0.01,0.01,86.22892654028435,-1.0746391625615763,1.018,166.1,-6.5,6.5,2451672.0,-18.0,18.0,34.0,0.40319538679914824,-0.1866326936744847,0.18404434968017058,0.0,,0.0,0.0,,,,,,,314.60806,10.839286,5.506,76.38,-0.62,0.62,-0.052,-0.023,0.023,2.3,-0.14648483849703361,0.15056578517793012,8.5,-0.21448014541378638,0.2716362375139567,,-2114701.503671098,-1.9271664016799153,2.96431584527292,4979.0,-18.0,18.0,,,2.82,0.0,5.357039901373938,59.30833232746458,14.440209304735127,6.449324611881728,0.26914123,2.60832,2.392,2.808,2.6020847,5.9039479,5.0454603,6.9530068,396.65045,381.83005,413.70243,,8.5,,20.973872,,,39.782769,4.9452691,11.966497,6.2639156,11.345312,6.6291433,11.345312,6.0471267,11.345312,17.029868,0.67864811,0.60896698,0,0,,0,0.21617437,,,,12.424038,3273.6284,2.6
,3.0,-317.828,317.828,4.191425871296591,-0.48398988083735917,0.6218674074074073,2008,,2309.3421610400937,-1073.6306980385684,1043.2565970659966,330.0,-0.42278956557901476,0.4178062250639386,0.16155059420072465,-0.05414682904129763,0.06474579507003089,86.22892654028435,-1.0746391625615763,1.018,135.40529410455764,-37.77747677056277,41.39958138528139,2429249.4893970895,-143.80417540254237,170.48328451271186,2280.0,0.40319538679914824,-0.1866326936744847,0.18404434968017058,0.0,,0.0,0.0,,,,,,,242.37627,-21.083036,12.709592659601963,145.0,-14.0,14.0,0.014020760003518647,-0.11816107931152901,0.10933033524284545,0.85,-0.1,0.2,1.5371422191458501,-0.21448014541378638,0.2716362375139567,,0.005,-1.9271664016799153,2.96431584527292,4060.0,-200.0,300.0,,,4.342800000111889,0.0,5.357039901373938,59.30833232746458,14.440209304735127,6.449324611881728,47.561283,330.0,330.0,330.0,330.00001,616.6291209337563,604.0859193090275,643.9591459949278,804.1932016099973,793.683031961247,824.9372727000268,,1.5399505987617066,,16.158419,,,5.7862772399051465,0.9909724418408372,2.3697235630168514,1.2551962984265583,2.246709762868489,1.3278258466106496,2.246709762868489,1.2116657135264264,2.246709762868489,3.513347549625647,0.10042903,0.14012839,0,0,,0,0.2612521685299651,,,,12.56295,2542.624,330.0
,3.0,-31.7828,41.31764,4.191425871296591,-0.48398988083735917,0.6218674074074073,2018,,30.3506,-0.0077,0.0078,0.19,-0.009,0.012,0.042,-0.029,0.048,86.22892654028435,-1.0746391625615763,1.018,210.0,-130.0,100.0,2450008.6,-7.9,10.1,1.97,0.40319538679914824,-0.1866326936744847,0.18404434968017058,0.0,,0.0,0.0,,,,,,,217.15755,49.844852,5.58,96.25,-0.64,0.64,-0.77,-0.03,0.03,0.99,-0.13,0.19,10.64,-0.59,0.84,,6.92,-2.75,4.83,4893.0,-15.0,15.0,,,2.42,0.0,5.357039901373938,59.30833232746458,14.440209304735127,6.449324611881728,0.012081025,0.19016758,0.18202,0.19798,0.19004195,1611.9403,1483.3039,1754.828,1613.7579,1581.0749,1648.935,,10.64,,14.477171,,,58.139697,6.0021326,14.574833,7.6026009,13.818243,8.0466759,13.818243,7.3395091,13.818243,20.587336,0.4420258,0.49217655,0,0,,0,0.065684936,,,,13.823874,289.22348,0.19
,3.0,-120.77464,82.635281,4.191425871296591,-0.48398988083735917,0.6218674074074073,2010,,452.8,-4.5,2.1,1.333,-0.009,0.004,0.09,-0.06,0.14,86.22892654028435,-1.0746391625615763,1.018,9.2,-165.4,277.9,2454762.0,-172.3,67.3,18.5,0.40319538679914824,-0.1866326936744847,0.18404434968017058,0.0,,0.0,0.0,,,,,,,155.86821,-0.902244,6.441,72.21,-0.68,0.68,-0.03,-0.04,0.04,1.54,-0.08,0.08,4.9,-0.08,0.08,,2.7,-0.4,0.4,5098.0,-44.0,44.0,,,3.5,0.0,5.357039901373938,59.30833232746458,14.440209304735127,6.449324611881728,0.090191357,1.3383987,1.21303,1.45297,1.3343533,8.2108078,6.8828267,9.8749987,430.60546,412.65453,451.62624,,4.9,,10.391215,,,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,0,0,,0,0.17730446,,,,13.35605,632.47773,1.333
,3.0,-69.922161,111.2398,4.191425871296591,-0.48398988083735917,0.6218674074074073,2010,,883.0,-13.8,32.4,2.08,-0.02,0.05,0.29,-0.09,0.16,86.22892654028435,-1.0746391625615763,1.018,220.5,-320.9,182.2,2454930.0,-96.5,209.9,28.8,0.40319538679914824,-0.1866326936744847,0.18404434968017058,0.0,,0.0,0.0,,,,,,,155.86821,-0.902244,6.441,72.21,-0.68,0.68,-0.03,-0.04,0.04,1.54,-0.08,0.08,4.9,-0.08,0.08,,2.7,-0.4,0.4,5098.0,-44.0,44.0,,,3.5,0.0,5.357039901373938,59.30833232746458,14.440209304735127,6.449324611881728,0.083016328,2.167464,1.4768,2.6832,2.1024946,3.5093722,2.0182457,6.662493,343.04216,303.66058,409.31164,,4.9,,10.391215,,,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,0,0,,0,0.2724776,,,,13.858291,273.33208,2.08
